Fecha,Tasa de política monetaria,PIB,Inflación,Tasa Desempleo,Año
2005-01-31,6.5,,5.43,13.26,2005
2005-02-28,6.5,,5.25,14.1,2005
2005-03-31,6.5,126307.2,5.03,12.95,2005
2005-04-30,6.5,,5.01,12.02,2005
2005-05-31,6.5,,5.04,12.49,2005
2005-06-30,6.5,128616.9,4.83,11.54,2005
2005-07-31,6.5,,4.91,12.05,2005
2005-08-31,6.5,,4.88,11.72,2005
2005-09-30,6.0,128679.0,5.02,11.33,2005
2005-10-31,6.0,,5.27,9.9,2005
2005-11-30,6.0,,5.1,10.28,2005
2005-12-31,6.0,131249.9,4.85,10.27,2005
2006-01-31,6.0,,4.56,13.37,2006
2006-02-28,6.0,,4.19,13.08,2006
2006-03-31,6.0,134085.7,4.11,11.37,2006
2006-04-30,6.0,,4.12,12.06,2006
2006-05-31,6.25,,4.04,11.87,2006
2006-06-30,6.5,135784.9,3.94,10.48,2006
2006-07-31,6.5,,4.32,12.3,2006
2006-08-31,6.75,,4.72,13.04,2006
2006-09-30,6.75,138548.5,4.58,12.91,2006
2006-10-31,7.25,,4.19,11.36,2006
2006-11-30,7.25,,4.31,11.0,2006
2006-12-31,7.5,141015.9,4.48,11.84,2006
2007-01-31,7.75,,4.71,14.28,2007
2007-02-28,8.0,,5.25,12.86,2007
2007-03-31,8.25,143183.6,5.78,12.03,2007
2007-04-30,8.25,,6.26,10.81,2007
2007-05-31,8.75,,6.23,11.7,2007
2007-06-30,9.0,144977.6,6.03,11.2,2007
2007-07-31,9.25,,5.77,11.35,2007
2007-08-31,9.25,,5.22,10.86,2007
2007-09-30,9.25,148062.9,5.0,10.87,2007
2007-10-31,9.25,,5.16,10.21,2007
2007-11-30,9.5,,5.41,9.49,2007
2007-12-31,9.5,150232.9,5.69,9.92,2007
2008-01-31,9.5,,6.0,13.3,2008
2008-02-29,9.75,,6.35,12.19,2008
2008-03-31,9.75,150944.0,5.93,11.34,2008
2008-04-30,9.75,,5.73,11.08,2008
2008-05-31,9.75,,6.39,10.81,2008
2008-06-30,9.75,151168.2,7.18,11.41,2008
2008-07-31,10.0,,7.52,12.21,2008
2008-08-31,10.0,,7.87,11.43,2008
2008-09-30,10.0,152912.8,7.57,11.05,2008
2008-10-31,10.0,,7.94,10.18,2008
2008-11-30,10.0,,7.73,10.91,2008
2008-12-31,9.5,150688.0,7.67,10.77,2008
2009-01-31,9.5,,7.18,14.47,2009
2009-02-28,9.0,,6.47,12.77,2009
2009-03-31,7.0,150782.2,6.14,12.19,2009
2009-04-30,7.0,,5.73,12.12,2009
2009-05-31,6.0,,4.77,11.76,2009
2009-06-30,4.5,152386.3,3.81,11.6,2009
2009-07-31,4.5,,3.28,12.84,2009
2009-08-31,4.5,,3.13,11.94,2009
2009-09-30,4.0,153938.8,3.21,12.44,2009
2009-10-31,4.0,,2.72,11.76,2009
2009-11-30,3.5,,2.37,11.39,2009
2009-12-31,3.5,155508.7,2.0,11.31,2009
2010-01-31,3.5,,2.1,14.88,2010
2010-02-28,3.5,,2.09,12.69,2010
2010-03-31,3.5,156631.6,1.84,11.96,2010
2010-04-30,3.5,,1.98,12.44,2010
2010-05-31,3.0,,2.07,12.26,2010
2010-06-30,3.0,159160.0,2.25,11.98,2010
